Disease,Symptom,HealthTips
Diabetes mellitus,"[""fatigue"", ""diarrhea"", ""chest pain"", ""chill"", ""night sweats"", ""joint pain""]",Practice stress-reducing techniques like meditation. Maintain a balanced diet and stay hydrated.
Hyperthyroidism,"[""fatigue"", ""nausea"", ""weight loss"", ""loss of taste"", ""shortness of breath""]",Follow prescribed medication schedules carefully. Get adequate rest and sleep.
Gastroenteritis,"[""confusion"", ""nausea"", ""seizure"", ""dizziness"", ""agitation""]",Engage in regular physical activity appropriate to your condition. Stay informed and get vaccinated when available.
Migraine,"[""chill"", ""palpitations"", ""nausea""]",Engage in regular physical activity appropriate to your condition.
Adenocarcinoma,"[""shortness of breath"", ""headache"", ""fever"", ""dizziness""]",Stay informed and get vaccinated when available. Follow prescribed medication schedules carefully.
Adhesion,"[""agitation"", ""constipation"", ""chill""]",Avoid known triggers and allergens. Get adequate rest and sleep.
Stroke,"[""nausea"", ""fever"", ""dizziness"", ""weight loss"", ""dizziness"", ""chill"", ""sore throat""]",Stay informed and get vaccinated when available. Follow prescribed medication schedules carefully.
Hyperthyroidism,"[""weight loss"", ""headache"", ""confusion"", ""chill"", ""swelling""]",Maintain a balanced diet and stay hydrated. Avoid known triggers and allergens.
Asthma,"[""loss of smell"", ""chest pain"", ""swelling""]",Maintain a balanced diet and stay hydrated.
Hypertension,"[""swelling"", ""dizziness"", ""tremor"", ""agitation"", ""shortness of breath"", ""headache"", ""sore throat"", ""muscle twitch""]",Quit smoking and avoid alcohol consumption.
Tuberculosis,"[""sore throat"", ""sleeplessness"", ""fever"", ""swelling"", ""loss of smell"", ""vomiting"", ""palpitations""]",Stay informed and get vaccinated when available.
Hypertension,"[""confusion"", ""headache"", ""palpitations"", ""nausea"", ""joint pain""]",Follow prescribed medication schedules carefully.
Hypertension,"[""chest pain"", ""sleeplessness"", ""sore throat"", ""joint pain"", ""vomiting"", ""chill"", ""muscle twitch""]",Maintain a balanced diet and stay hydrated.
Asthma,"[""chill"", ""blurred vision"", ""chest pain""]",Maintain a balanced diet and stay hydrated.
Migraine,"[""blurred vision"", ""seizure"", ""agitation""]",Maintain a balanced diet and stay hydrated. Practice stress-reducing techniques like meditation.
Stroke,"[""dizziness"", ""muscle twitch"", ""constipation"", ""blurred vision"", ""fatigue"", ""nausea"", ""dizziness"", ""tremor""]",Ensure regular check-ups with your healthcare provider.
Hypothyroidism,"[""cough"", ""fatigue"", ""night sweats"", ""weight loss"", ""swelling""]",Practice stress-reducing techniques like meditation.
Gastroenteritis,"[""weight loss"", ""diarrhea"", ""muscle twitch""]",Maintain hygiene to prevent infections. Quit smoking and avoid alcohol consumption.
COPD,"[""dizziness"", ""tremor"", ""seizure"", ""night sweats""]",Practice stress-reducing techniques like meditation.
Alzheimer's disease,"[""cough"", ""palpitations"", ""loss of smell"", ""shortness of breath"", ""fatigue""]",Stay informed and get vaccinated when available.
COVID-19,"[""chest pain"", ""rash"", ""muscle twitch""]",Quit smoking and avoid alcohol consumption.
Hyperthyroidism,"[""blurred vision"", ""loss of taste"", ""dizziness"", ""cough"", ""seizure""]",Maintain a balanced diet and stay hydrated. Maintain hygiene to prevent infections.
COVID-19,"[""night sweats"", ""swelling"", ""chill"", ""joint pain"", ""tremor"", ""shortness of breath"", ""rash""]",Avoid known triggers and allergens.
COVID-19,"[""palpitations"", ""chill"", ""dizziness"", ""headache"", ""cough"", ""dizziness""]",Quit smoking and avoid alcohol consumption.
Alzheimer's disease,"[""cough"", ""chest pain"", ""headache"", ""chill"", ""muscle twitch"", ""agitation""]",Practice stress-reducing techniques like meditation.
Adhesion,"[""night sweats"", ""joint pain"", ""blurred vision"", ""fatigue"", ""confusion"", ""muscle twitch""]",Stay informed and get vaccinated when available. Follow prescribed medication schedules carefully.
Hypothyroidism,"[""loss of taste"", ""loss of smell"", ""rash"", ""vomiting"", ""blurred vision"", ""muscle twitch"", ""weight loss"", ""dizziness""]",Avoid known triggers and allergens.
Depression,"[""sleeplessness"", ""blurred vision"", ""vomiting"", ""tremor""]",Follow prescribed medication schedules carefully. Practice stress-reducing techniques like meditation.
Alzheimer's disease,"[""palpitations"", ""fever"", ""seizure"", ""sleeplessness"", ""chest pain"", ""fatigue"", ""chill""]",Engage in regular physical activity appropriate to your condition.
Coronary artery disease,"[""agitation"", ""night sweats"", ""fatigue"", ""vomiting"", ""blurred vision"", ""loss of taste"", ""loss of smell""]",Avoid known triggers and allergens.
Parkinson's disease,"[""weight loss"", ""headache"", ""blurred vision"", ""rash"", ""loss of taste"", ""dizziness"", ""swelling""]",Avoid known triggers and allergens. Follow prescribed medication schedules carefully.
Anemia,"[""weight loss"", ""chest pain"", ""confusion"", ""tremor"", ""dizziness""]",Ensure regular check-ups with your healthcare provider. Get adequate rest and sleep.
Parkinson's disease,"[""blurred vision"", ""fatigue"", ""palpitations"", ""sore throat"", ""confusion"", ""weight loss"", ""rash""]",Maintain hygiene to prevent infections.
Diabetes mellitus,"[""joint pain"", ""nausea"", ""chest pain"", ""shortness of breath"", ""tremor"", ""fever""]",Ensure regular check-ups with your healthcare provider. Follow prescribed medication schedules carefully.
Coronary artery disease,"[""nausea"", ""cough"", ""agitation"", ""chill"", ""seizure""]",Maintain hygiene to prevent infections.
Stroke,"[""sore throat"", ""tremor"", ""loss of taste"", ""sleeplessness"", ""cough"", ""chill"", ""dizziness"", ""agitation""]",Avoid known triggers and allergens.
Tuberculosis,"[""fever"", ""dizziness"", ""sore throat"", ""confusion""]",Ensure regular check-ups with your healthcare provider.
Alzheimer's disease,"[""fever"", ""night sweats"", ""chill"", ""weight loss"", ""loss of taste"", ""fatigue"", ""chest pain""]",Maintain hygiene to prevent infections.
Hyperthyroidism,"[""dizziness"", ""shortness of breath"", ""chill"", ""blurred vision"", ""swelling""]",Ensure regular check-ups with your healthcare provider. Follow prescribed medication schedules carefully.
Pneumocystis carinii pneumonia,"[""chest pain"", ""cough"", ""seizure""]",Maintain hygiene to prevent infections.
Rheumatoid arthritis,"[""cough"", ""agitation"", ""dizziness"", ""loss of taste""]",Follow prescribed medication schedules carefully.
Parkinson's disease,"[""dizziness"", ""night sweats"", ""fatigue""]",Get adequate rest and sleep.
Rheumatoid arthritis,"[""chill"", ""chest pain"", ""tremor"", ""joint pain"", ""dizziness""]",Maintain hygiene to prevent infections. Quit smoking and avoid alcohol consumption.
Anemia,"[""palpitations"", ""loss of smell"", ""headache"", ""shortness of breath"", ""constipation"", ""cough"", ""dizziness""]",Follow prescribed medication schedules carefully. Quit smoking and avoid alcohol consumption.
Adenocarcinoma,"[""swelling"", ""loss of taste"", ""palpitations"", ""chill"", ""sore throat"", ""night sweats"", ""headache""]",Maintain a balanced diet and stay hydrated. Maintain hygiene to prevent infections.
Rheumatoid arthritis,"[""swelling"", ""loss of smell"", ""diarrhea"", ""shortness of breath"", ""dizziness"", ""joint pain""]",Stay informed and get vaccinated when available.
COPD,"[""agitation"", ""rash"", ""headache"", ""diarrhea"", ""chill""]",Get adequate rest and sleep. Maintain hygiene to prevent infections.
Adhesion,"[""dizziness"", ""loss of smell"", ""joint pain"", ""cough"", ""night sweats""]",Ensure regular check-ups with your healthcare provider.
Alzheimer's disease,"[""night sweats"", ""chill"", ""diarrhea"", ""constipation""]",Avoid known triggers and allergens. Get adequate rest and sleep.
Anemia,"[""dizziness"", ""chest pain"", ""confusion""]",Ensure regular check-ups with your healthcare provider.
Gastroenteritis,"[""night sweats"", ""tremor"", ""palpitations"", ""diarrhea"", ""chill"", ""sore throat""]",Maintain a balanced diet and stay hydrated.
Stroke,"[""weight loss"", ""confusion"", ""joint pain"", ""loss of smell"", ""fever"", ""loss of taste"", ""palpitations""]",Practice stress-reducing techniques like meditation.
Anemia,"[""vomiting"", ""cough"", ""constipation"", ""dizziness"", ""loss of smell"", ""sleeplessness"", ""weight loss""]",Engage in regular physical activity appropriate to your condition.
Pneumocystis carinii pneumonia,"[""dizziness"", ""diarrhea"", ""agitation"", ""tremor""]",Maintain hygiene to prevent infections.
Coronary artery disease,"[""chest pain"", ""chill"", ""chill""]",Practice stress-reducing techniques like meditation. Follow prescribed medication schedules carefully.
Parkinson's disease,"[""sleeplessness"", ""weight loss"", ""headache"", ""fatigue"", ""constipation"", ""chill"", ""rash"", ""confusion""]",Practice stress-reducing techniques like meditation.
COPD,"[""palpitations"", ""loss of taste"", ""joint pain"", ""rash"", ""sore throat"", ""constipation"", ""chill"", ""swelling""]",Get adequate rest and sleep. Quit smoking and avoid alcohol consumption.
Alzheimer's disease,"[""vomiting"", ""tremor"", ""loss of smell"", ""sore throat"", ""constipation"", ""diarrhea"", ""headache"", ""fever""]",Follow prescribed medication schedules carefully.
COPD,"[""sleeplessness"", ""muscle twitch"", ""weight loss"", ""rash"", ""swelling"", ""fatigue""]",Ensure regular check-ups with your healthcare provider.
Migraine,"[""swelling"", ""palpitations"", ""blurred vision"", ""fever"", ""chill""]",Engage in regular physical activity appropriate to your condition.
Epilepsy,"[""chill"", ""muscle twitch"", ""constipation"", ""joint pain"", ""night sweats"", ""loss of smell"", ""fever""]",Ensure regular check-ups with your healthcare provider.
Coronary artery disease,"[""night sweats"", ""diarrhea"", ""confusion"", ""shortness of breath"", ""rash"", ""cough"", ""chill"", ""fever""]",Stay informed and get vaccinated when available.
Parkinson's disease,"[""confusion"", ""constipation"", ""nausea"", ""headache"", ""chill"", ""loss of smell"", ""muscle twitch"", ""chill""]",Get adequate rest and sleep. Avoid known triggers and allergens.
Parkinson's disease,"[""headache"", ""loss of taste"", ""loss of smell"", ""fatigue"", ""shortness of breath"", ""dizziness""]",Engage in regular physical activity appropriate to your condition.
Hypertension,"[""swelling"", ""muscle twitch"", ""sleeplessness"", ""joint pain"", ""dizziness"", ""chill"", ""cough""]",Follow prescribed medication schedules carefully. Engage in regular physical activity appropriate to your condition.
COVID-19,"[""dizziness"", ""palpitations"", ""constipation"", ""cough"", ""diarrhea"", ""headache"", ""blurred vision"", ""vomiting""]",Get adequate rest and sleep.
Asthma,"[""headache"", ""agitation"", ""loss of smell"", ""chill"", ""shortness of breath"", ""tremor"", ""fever"", ""loss of taste""]",Avoid known triggers and allergens. Stay informed and get vaccinated when available.
COVID-19,"[""dizziness"", ""tremor"", ""night sweats"", ""headache"", ""fever"", ""vomiting"", ""weight loss""]",Maintain hygiene to prevent infections.
Pneumocystis carinii pneumonia,"[""dizziness"", ""agitation"", ""constipation"", ""vomiting""]",Maintain hygiene to prevent infections.
Adhesion,"[""vomiting"", ""weight loss"", ""nausea"", ""blurred vision"", ""confusion"", ""fatigue"", ""headache"", ""swelling""]",Engage in regular physical activity appropriate to your condition.
Rheumatoid arthritis,"[""fatigue"", ""rash"", ""nausea"", ""swelling"", ""muscle twitch"", ""headache"", ""loss of smell"", ""diarrhea""]",Stay informed and get vaccinated when available.
Diabetes mellitus,"[""shortness of breath"", ""sore throat"", ""blurred vision"", ""agitation"", ""chill"", ""swelling""]",Avoid known triggers and allergens. Quit smoking and avoid alcohol consumption.
Alzheimer's disease,"[""fever"", ""seizure"", ""blurred vision"", ""chest pain""]",Practice stress-reducing techniques like meditation.
COVID-19,"[""loss of taste"", ""fatigue"", ""constipation"", ""fever"", ""headache""]",Follow prescribed medication schedules carefully.
COVID-19,"[""rash"", ""chill"", ""chest pain""]",Practice stress-reducing techniques like meditation.
Adenocarcinoma,"[""diarrhea"", ""cough"", ""dizziness"", ""chest pain"", ""weight loss""]",Engage in regular physical activity appropriate to your condition.
Hypertension,"[""weight loss"", ""dizziness"", ""confusion"", ""cough"", ""dizziness""]",Practice stress-reducing techniques like meditation.
Hypothyroidism,"[""fever"", ""vomiting"", ""tremor"", ""dizziness"", ""agitation""]",Maintain a balanced diet and stay hydrated. Maintain hygiene to prevent infections.
Alzheimer's disease,"[""confusion"", ""shortness of breath"", ""cough"", ""loss of smell"", ""swelling""]",Maintain a balanced diet and stay hydrated.
Anemia,"[""palpitations"", ""nausea"", ""diarrhea"", ""dizziness"", ""tremor""]",Quit smoking and avoid alcohol consumption.
COVID-19,"[""sore throat"", ""chill"", ""weight loss""]",Stay informed and get vaccinated when available.
Asthma,"[""agitation"", ""blurred vision"", ""nausea"", ""chest pain"", ""loss of smell"", ""rash"", ""constipation"", ""headache""]",Engage in regular physical activity appropriate to your condition.
Epilepsy,"[""sore throat"", ""fever"", ""nausea""]",Engage in regular physical activity appropriate to your condition. Ensure regular check-ups with your healthcare provider.
Pneumocystis carinii pneumonia,"[""weight loss"", ""dizziness"", ""dizziness"", ""nausea""]",Stay informed and get vaccinated when available. Quit smoking and avoid alcohol consumption.
Stroke,"[""chest pain"", ""muscle twitch"", ""fever"", ""night sweats"", ""nausea"", ""tremor"", ""weight loss""]",Get adequate rest and sleep.
Rheumatoid arthritis,"[""shortness of breath"", ""confusion"", ""joint pain"", ""chill"", ""palpitations"", ""cough"", ""dizziness"", ""fever""]",Practice stress-reducing techniques like meditation.
Hypertension,"[""joint pain"", ""diarrhea"", ""rash"", ""chest pain"", ""constipation""]",Get adequate rest and sleep.
Depression,"[""dizziness"", ""tremor"", ""fever"", ""dizziness"", ""confusion""]",Ensure regular check-ups with your healthcare provider.
Rheumatoid arthritis,"[""loss of smell"", ""confusion"", ""constipation"", ""palpitations"", ""chill"", ""rash""]",Maintain a balanced diet and stay hydrated.
Hypothyroidism,"[""chill"", ""confusion"", ""swelling"", ""diarrhea""]",Get adequate rest and sleep.
Adenocarcinoma,"[""cough"", ""blurred vision"", ""sore throat"", ""sleeplessness""]",Ensure regular check-ups with your healthcare provider.
Pneumocystis carinii pneumonia,"[""muscle twitch"", ""chest pain"", ""sleeplessness"", ""rash"", ""blurred vision"", ""loss of taste"", ""fever""]",Ensure regular check-ups with your healthcare provider.
Hypothyroidism,"[""shortness of breath"", ""weight loss"", ""tremor"", ""loss of taste""]",Get adequate rest and sleep.
Gastroenteritis,"[""sleeplessness"", ""chest pain"", ""loss of smell"", ""loss of taste""]",Stay informed and get vaccinated when available.
Epilepsy,"[""blurred vision"", ""tremor"", ""chill"", ""diarrhea"", ""dizziness"", ""headache"", ""constipation""]",Maintain a balanced diet and stay hydrated.
Parkinson's disease,"[""nausea"", ""blurred vision"", ""fever""]",Stay informed and get vaccinated when available.
Depression,"[""loss of smell"", ""tremor"", ""sore throat"", ""fever"", ""blurred vision"", ""nausea"", ""cough""]",Maintain hygiene to prevent infections. Ensure regular check-ups with your healthcare provider.
Adenocarcinoma,"[""seizure"", ""loss of smell"", ""chill"", ""sleeplessness"", ""weight loss"", ""tremor"", ""dizziness""]",Stay informed and get vaccinated when available.
Adhesion,"[""fatigue"", ""chill"", ""tremor"", ""agitation"", ""sleeplessness"", ""joint pain"", ""dizziness"", ""blurred vision""]",Quit smoking and avoid alcohol consumption. Maintain a balanced diet and stay hydrated.
Alzheimer's disease,"[""chest pain"", ""vomiting"", ""constipation"", ""shortness of breath"", ""sleeplessness"", ""agitation"", ""joint pain""]",Maintain hygiene to prevent infections.
Stroke,"[""constipation"", ""confusion"", ""joint pain"", ""chill"", ""agitation""]",Ensure regular check-ups with your healthcare provider.
Parkinson's disease,"[""night sweats"", ""dizziness"", ""muscle twitch""]",Maintain hygiene to prevent infections.
Rheumatoid arthritis,"[""chill"", ""muscle twitch"", ""sleeplessness"", ""swelling"", ""night sweats"", ""fever"", ""loss of smell"", ""chest pain""]",Stay informed and get vaccinated when available.
COVID-19,"[""weight loss"", ""fever"", ""rash"", ""blurred vision"", ""palpitations"", ""loss of taste"", ""chest pain""]",Maintain a balanced diet and stay hydrated.
Rheumatoid arthritis,"[""night sweats"", ""palpitations"", ""loss of smell"", ""joint pain"", ""chill"", ""blurred vision"", ""seizure""]",Maintain hygiene to prevent infections.
Rheumatoid arthritis,"[""loss of smell"", ""tremor"", ""palpitations"", ""nausea""]",Follow prescribed medication schedules carefully.
Hyperthyroidism,"[""sleeplessness"", ""fatigue"", ""tremor"", ""sore throat"", ""confusion"", ""chest pain"", ""weight loss""]",Get adequate rest and sleep.
Migraine,"[""diarrhea"", ""night sweats"", ""shortness of breath"", ""palpitations""]",Follow prescribed medication schedules carefully.
Asthma,"[""confusion"", ""seizure"", ""weight loss"", ""sore throat""]",Engage in regular physical activity appropriate to your condition.
Hypothyroidism,"[""sleeplessness"", ""nausea"", ""vomiting"", ""headache"", ""tremor""]",Maintain a balanced diet and stay hydrated.
Gastroenteritis,"[""weight loss"", ""sleeplessness"", ""loss of smell"", ""dizziness""]",Maintain a balanced diet and stay hydrated.
Hyperthyroidism,"[""fever"", ""chill"", ""shortness of breath"", ""cough"", ""muscle twitch"", ""chest pain""]",Quit smoking and avoid alcohol consumption. Engage in regular physical activity appropriate to your condition.
Hypertension,"[""rash"", ""diarrhea"", ""swelling""]",Practice stress-reducing techniques like meditation.
COVID-19,"[""vomiting"", ""shortness of breath"", ""loss of taste"", ""headache"", ""rash""]",Follow prescribed medication schedules carefully. Engage in regular physical activity appropriate to your condition.
Asthma,"[""weight loss"", ""dizziness"", ""headache"", ""dizziness"", ""joint pain"", ""rash"", ""confusion"", ""palpitations""]",Quit smoking and avoid alcohol consumption. Get adequate rest and sleep.
Depression,"[""fatigue"", ""tremor"", ""dizziness"", ""palpitations"", ""rash"", ""sore throat"", ""weight loss"", ""night sweats""]",Maintain a balanced diet and stay hydrated.
Alzheimer's disease,"[""muscle twitch"", ""palpitations"", ""dizziness"", ""diarrhea"", ""fatigue"", ""headache""]",Get adequate rest and sleep.
Asthma,"[""dizziness"", ""muscle twitch"", ""dizziness"", ""shortness of breath"", ""confusion"", ""vomiting"", ""seizure""]",Ensure regular check-ups with your healthcare provider. Quit smoking and avoid alcohol consumption.
Asthma,"[""chill"", ""night sweats"", ""cough"", ""nausea""]",Get adequate rest and sleep. Avoid known triggers and allergens.
Epilepsy,"[""fever"", ""sleeplessness"", ""chill"", ""muscle twitch"", ""vomiting""]",Get adequate rest and sleep. Ensure regular check-ups with your healthcare provider.
Diabetes mellitus,"[""palpitations"", ""nausea"", ""vomiting""]",Get adequate rest and sleep.
Stroke,"[""weight loss"", ""confusion"", ""loss of taste"", ""sore throat"", ""constipation""]",Maintain a balanced diet and stay hydrated.
Anemia,"[""loss of smell"", ""blurred vision"", ""sore throat"", ""constipation"", ""tremor""]",Practice stress-reducing techniques like meditation. Maintain a balanced diet and stay hydrated.
Asthma,"[""fever"", ""agitation"", ""confusion"", ""tremor"", ""constipation"", ""seizure"", ""muscle twitch""]",Maintain a balanced diet and stay hydrated.
Asthma,"[""confusion"", ""palpitations"", ""sleeplessness"", ""rash""]",Get adequate rest and sleep. Quit smoking and avoid alcohol consumption.
Hypothyroidism,"[""weight loss"", ""confusion"", ""muscle twitch"", ""joint pain"", ""fatigue"", ""agitation""]",Follow prescribed medication schedules carefully.
Migraine,"[""vomiting"", ""tremor"", ""sleeplessness"", ""cough"", ""seizure"", ""headache"", ""shortness of breath""]",Stay informed and get vaccinated when available.
Alzheimer's disease,"[""chill"", ""chill"", ""confusion""]",Get adequate rest and sleep.
Pneumocystis carinii pneumonia,"[""loss of smell"", ""chill"", ""palpitations"", ""seizure"", ""chest pain""]",Ensure regular check-ups with your healthcare provider.
Epilepsy,"[""fever"", ""weight loss"", ""confusion"", ""loss of taste"", ""vomiting"", ""headache""]",Engage in regular physical activity appropriate to your condition. Quit smoking and avoid alcohol consumption.
Gastroenteritis,"[""loss of smell"", ""shortness of breath"", ""loss of taste"", ""headache"", ""blurred vision"", ""swelling""]",Maintain a balanced diet and stay hydrated.
Alzheimer's disease,"[""palpitations"", ""loss of taste"", ""muscle twitch"", ""dizziness"", ""agitation""]",Maintain a balanced diet and stay hydrated.
COVID-19,"[""dizziness"", ""shortness of breath"", ""fever"", ""tremor""]",Engage in regular physical activity appropriate to your condition.
Stroke,"[""chill"", ""chest pain"", ""palpitations"", ""vomiting"", ""loss of smell""]",Get adequate rest and sleep. Maintain hygiene to prevent infections.
Coronary artery disease,"[""dizziness"", ""loss of taste"", ""cough""]",Avoid known triggers and allergens.
Adhesion,"[""muscle twitch"", ""diarrhea"", ""constipation"", ""cough""]",Ensure regular check-ups with your healthcare provider.
Gastroenteritis,"[""shortness of breath"", ""cough"", ""night sweats"", ""chill"", ""rash""]",Ensure regular check-ups with your healthcare provider.
Hypertension,"[""blurred vision"", ""headache"", ""night sweats"", ""sore throat"", ""dizziness"", ""palpitations""]",Quit smoking and avoid alcohol consumption.
Hyperthyroidism,"[""fever"", ""chill"", ""swelling"", ""fatigue"", ""tremor"", ""headache""]",Ensure regular check-ups with your healthcare provider. Quit smoking and avoid alcohol consumption.
Rheumatoid arthritis,"[""blurred vision"", ""night sweats"", ""weight loss""]",Stay informed and get vaccinated when available.
Coronary artery disease,"[""nausea"", ""fever"", ""chill"", ""agitation"", ""vomiting""]",Engage in regular physical activity appropriate to your condition.
Tuberculosis,"[""swelling"", ""palpitations"", ""fatigue"", ""shortness of breath""]",Stay informed and get vaccinated when available.
Hypertension,"[""swelling"", ""agitation"", ""loss of smell"", ""confusion"", ""constipation"", ""dizziness"", ""chest pain""]",Maintain a balanced diet and stay hydrated.
Epilepsy,"[""weight loss"", ""joint pain"", ""dizziness""]",Quit smoking and avoid alcohol consumption.
Epilepsy,"[""blurred vision"", ""vomiting"", ""joint pain"", ""fatigue"", ""weight loss"", ""dizziness""]",Engage in regular physical activity appropriate to your condition.
Hyperthyroidism,"[""fatigue"", ""agitation"", ""fever""]",Get adequate rest and sleep. Avoid known triggers and allergens.
Diabetes mellitus,"[""swelling"", ""night sweats"", ""fever"", ""vomiting""]",Engage in regular physical activity appropriate to your condition. Follow prescribed medication schedules carefully.
Anemia,"[""night sweats"", ""fatigue"", ""agitation""]",Stay informed and get vaccinated when available.
Parkinson's disease,"[""swelling"", ""muscle twitch"", ""cough"", ""loss of smell"", ""dizziness""]",Get adequate rest and sleep.
Diabetes mellitus,"[""loss of taste"", ""shortness of breath"", ""vomiting"", ""fever"", ""blurred vision"", ""chill"", ""rash""]",Engage in regular physical activity appropriate to your condition.
Coronary artery disease,"[""chest pain"", ""cough"", ""agitation"", ""chill"", ""chill"", ""diarrhea""]",Practice stress-reducing techniques like meditation.
Anemia,"[""palpitations"", ""dizziness"", ""muscle twitch"", ""chest pain"", ""loss of taste"", ""fever"", ""shortness of breath""]",Engage in regular physical activity appropriate to your condition.
Parkinson's disease,"[""nausea"", ""rash"", ""sore throat"", ""chill""]",Get adequate rest and sleep. Practice stress-reducing techniques like meditation.
Hyperthyroidism,"[""headache"", ""loss of taste"", ""agitation"", ""dizziness"", ""vomiting"", ""night sweats"", ""dizziness""]",Maintain hygiene to prevent infections.
COVID-19,"[""loss of smell"", ""sleeplessness"", ""palpitations"", ""agitation"", ""blurred vision"", ""chest pain""]",Get adequate rest and sleep. Practice stress-reducing techniques like meditation.
Gastroenteritis,"[""nausea"", ""weight loss"", ""swelling"", ""fever"", ""fatigue"", ""confusion""]",Maintain hygiene to prevent infections.
Coronary artery disease,"[""loss of smell"", ""nausea"", ""sore throat"", ""seizure""]",Ensure regular check-ups with your healthcare provider.
Hypothyroidism,"[""fatigue"", ""rash"", ""tremor"", ""headache"", ""seizure"", ""fever""]",Get adequate rest and sleep.
Tuberculosis,"[""shortness of breath"", ""seizure"", ""sore throat"", ""night sweats"", ""confusion"", ""swelling"", ""fatigue"", ""weight loss""]",Practice stress-reducing techniques like meditation.
Hypertension,"[""chest pain"", ""dizziness"", ""chill""]",Get adequate rest and sleep.
Gastroenteritis,"[""seizure"", ""agitation"", ""weight loss"", ""tremor"", ""shortness of breath""]",Practice stress-reducing techniques like meditation. Get adequate rest and sleep.
Coronary artery disease,"[""joint pain"", ""dizziness"", ""fever"", ""shortness of breath"", ""fatigue""]",Follow prescribed medication schedules carefully.
Diabetes mellitus,"[""nausea"", ""rash"", ""loss of smell"", ""dizziness"", ""headache""]",Maintain hygiene to prevent infections.
COPD,"[""diarrhea"", ""nausea"", ""chill"", ""constipation""]",Stay informed and get vaccinated when available.
Adenocarcinoma,"[""sleeplessness"", ""agitation"", ""blurred vision"", ""headache""]",Follow prescribed medication schedules carefully. Maintain hygiene to prevent infections.
Anemia,"[""chill"", ""loss of taste"", ""dizziness"", ""sore throat"", ""night sweats"", ""joint pain"", ""vomiting""]",Follow prescribed medication schedules carefully.
Depression,"[""cough"", ""vomiting"", ""muscle twitch"", ""chill"", ""fever"", ""joint pain""]",Engage in regular physical activity appropriate to your condition.
Adenocarcinoma,"[""sore throat"", ""swelling"", ""fever""]",Ensure regular check-ups with your healthcare provider.
Depression,"[""seizure"", ""dizziness"", ""fever""]",Engage in regular physical activity appropriate to your condition. Maintain a balanced diet and stay hydrated.
COPD,"[""cough"", ""sore throat"", ""rash"", ""diarrhea""]",Practice stress-reducing techniques like meditation. Quit smoking and avoid alcohol consumption.
Parkinson's disease,"[""dizziness"", ""swelling"", ""shortness of breath"", ""sleeplessness""]",Maintain hygiene to prevent infections.
Pneumocystis carinii pneumonia,"[""loss of smell"", ""dizziness"", ""headache"", ""rash"", ""sleeplessness"", ""blurred vision""]",Follow prescribed medication schedules carefully.
COPD,"[""palpitations"", ""vomiting"", ""sore throat"", ""seizure"", ""chest pain"", ""weight loss"", ""dizziness"", ""tremor""]",Engage in regular physical activity appropriate to your condition.
Gastroenteritis,"[""tremor"", ""loss of smell"", ""chill"", ""muscle twitch""]",Quit smoking and avoid alcohol consumption.
Stroke,"[""vomiting"", ""headache"", ""chest pain"", ""confusion"", ""blurred vision""]",Avoid known triggers and allergens.
Adenocarcinoma,"[""fever"", ""constipation"", ""fatigue"", ""loss of taste"", ""chill"", ""cough"", ""blurred vision""]",Stay informed and get vaccinated when available.
